Year,Quarter,        Gross domestic product,Personal consumption expenditures,    Goods,        Durable goods,        Nondurable goods,    Services,Gross private domestic investment,    Fixed investment,        Nonresidential,            Structures,            Equipment,            Intellectual property products,        Residential,    Change in private inventories,Net exports of goods and services,    Exports,        Goods,        Services,    Imports,        Goods,        Services,Government consumption expenditures and gross investment,    Federal,        National defense,        Nondefense,    State and local
1947,Q1,243.2,156.2,95.6,20.7,74.9,60.6,35.9,35.4,24.8,7.9,14.9,2,10.5,0.5,10.9,18.4,15.7,2.7,7.5,5.6,1.9,40.3,27,22.8,4.2,13.3
,Q2,246,160,98.2,21.4,76.9,61.8,34.5,35.7,25.2,7.9,15.2,2,10.6,-1.2,11.3,19.5,16.7,2.8,8.2,6.3,1.9,40.1,26.4,21.1,5.3,13.7
,Q3,249.6,163.5,100.4,21.8,78.6,63.1,34.9,37.8,25.4,8.3,15,2,12.5,-2.9,11.8,19.4,16.8,2.6,7.7,5.8,1.8,39.4,25,20,5.1,14.3
,Q4,259.7,167.7,103.5,23.5,80,64.2,43.3,41.8,26.5,8.4,16.1,2,15.3,1.5,9.3,17.6,15.1,2.5,8.3,6.2,2.2,39.5,24.5,20.4,4.1,15
1948,Q1,265.7,170.4,105.1,23.5,81.5,65.3,47.2,43.6,28.2,8.8,17.3,2.1,15.3,3.6,7.3,16.9,14.6,2.3,9.6,7.3,2.3,40.9,25.4,20.7,4.7,15.5
,Q2,272.6,174.1,107.2,24,83.2,67,50.3,44.5,28.1,9.3,16.7,2.1,16.4,5.9,5.2,15.2,13,2.2,10,7.6,2.4,42.9,26.6,20.6,6,16.3
,Q3,279.2,177.1,108.7,25.3,83.5,68.3,52.5,45.4,29.1,9.9,17.1,2.1,16.3,7.2,4.9,15.4,13.1,2.3,10.5,7.7,2.7,44.7,27.5,20.7,6.8,17.2
,Q4,280.4,177.9,108.7,25,83.7,69.3,51.3,45.3,30.2,10.1,18,2.1,15.2,6,4.5,14.6,12.4,2.3,10.1,7.5,2.6,46.6,28.7,21.6,7.2,17.9
1949,Q1,275,176.8,107.2,24.4,82.7,69.7,43.1,42.8,28.6,9.7,16.8,2,14.2,0.4,6.5,16.1,13.7,2.4,9.6,7.2,2.4,48.6,30.2,22.5,7.7,18.4
,Q2,271.4,178.4,108.3,26.4,81.9,70.2,36.2,41.4,27.5,9.4,16.1,2,13.9,-5.1,6.3,15.6,13.2,2.5,9.4,6.9,2.5,50.4,31.2,22.8,8.5,19.1
